Frame;DeltaTime(ms);FPS(1.0 / deltaTime);Particle Count(int)
Average;0.00602751;166
0;308.772;3;0
1;0.661;1513;0
2;4.8847;205;0
3;1.7829;561;0
4;1.4454;692;0
5;1.3054;766;0
6;1.2744;785;0
7;2.2879;437;0
8;1.3661;732;0
9;3.0498;328;0
10;2.0732;482;0
11;2.7187;368;0
12;1.7646;567;0
13;4.7923;209;0
14;2.8608;350;0
15;4.8829;205;0
16;1.3155;760;0
17;1.2567;796;0
18;5.5334;181;0
19;1.3145;761;0
20;1.289;776;0
21;1.1628;860;0
22;5.5959;179;0
23;1.2926;774;0
24;1.2359;809;0
25;2.1664;462;0
26;1.3471;742;0
27;2.0239;494;0
28;1.3032;767;0
29;1.2493;800;0
30;2.0781;481;0
31;1.2898;775;0
32;1.2726;786;0
33;2.1933;456;0
34;1.3063;766;0
35;2.0227;494;0
36;1.3078;765;0
37;1.2227;818;0
38;2.2761;439;0
39;1.4244;702;0
40;2.1406;467;0
41;1.2942;773;0
42;1.2752;784;0
43;2.2501;444;0
44;1.3289;753;0
45;2.0516;487;0
46;1.3116;762;0
47;1.2223;818;0
48;2.2324;448;0
49;1.2725;786;0
50;1.3027;768;0
51;1.8995;526;0
52;1.2877;777;0
53;2.0395;490;0
54;1.3531;739;0
55;1.2698;788;0
56;2.2738;440;0
57;1.2691;788;0
58;2.0919;478;0
59;1.3048;766;0
60;1.272;786;0
61;2.0074;498;0
62;1.3213;757;0
63;1.2502;800;0
64;2.2093;453;0
65;1.286;778;0
66;2.0294;493;0
67;1.3292;752;0
68;1.3207;757;0
69;2.7418;365;0
70;1.4603;685;0
71;2.3767;421;0
72;1.3422;745;0
73;1.2791;782;0
74;1.9451;514;0
75;1.2966;771;0
76;2.1484;465;0
77;1.3014;768;0
78;1.3384;747;0
79;2.0427;490;0
80;1.3808;724;0
81;2.0399;490;0
82;1.3484;742;0
83;1.2395;807;0
84;2.0925;478;0
85;1.313;762;0
86;2.1116;474;0
87;1.2969;771;0
88;1.2946;772;0
89;2.339;428;0
90;1.3185;758;0
91;2.1305;469;0
92;1.3143;761;0
93;1.2547;797;0
94;2.2166;451;0
